Model_Name,Rating,Ram,ROM,Screen_Size,Rear_Camera,Front_Camera,Battery,Processer,Price,Link
realme 12 Pro+ 5G,4.6,12 , 256,17.02 cm,50MP,32MP,5000,Snapdragon,"33,999",https://www.flipkart.com/realme-12-pro-5g-navigator-beige-256-gb/p/itm7f042fb6aebdb?pid=MOBGWH8STKHPCKGN&lid=LSTMOBGWH8STKHPCKGNZGIONJ&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&iid=en_rh349D-0gOYJfh9mUyzlxuXnxWVM4CaBZtho_-pnghnEXI0asUzUO8_MCIIdb4yGp0QL1N4jrPbQUOfPx77abQ%3D%3D&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
realme 12 Pro 5G,4.5,8 , 256,17.02 cm,50MP,16MP,5000,Snapdragon,"26,999",https://www.flipkart.com/realme-12-pro-5g-navigator-beige-256-gb/p/itmcc78f150eeabd?pid=MOBGWH8SSGEEZRDA&lid=LSTMOBGWH8SSGEEZRDAM6ZCMA&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&iid=en_rh349D-0gOYJfh9mUyzlxuXnxWVM4CaBZtho_-pnghmXVVJY0OE9cTwTs8-BpVVYbsH6kwBwCD2yp0xOGgDpqg%3D%3D&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
vivo T2x 5G,4.4,6 , 128,16.71 cm,50MP,8MP,5000,Dimensity,"12,999",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFU4HBKKFSN&lid=LSTMOBGZBFU4HBKKFSNXXMXTS&marketplace=FLIPKART&q=phones&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&iid=f3cd80c1-2864-431c-812c-4192f2c2110f.MOBGZBFU4HBKKFSN.SEARCH&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
vivo T2x 5G,4.4,6 , 128,16.71 cm,50MP,8MP,5000,Dimensity,"12,999",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUFNDXSGHS&lid=LSTMOBGZBFUFNDXSGHSMEZSSN&marketplace=FLIPKART&q=phones&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&iid=f3cd80c1-2864-431c-812c-4192f2c2110f.MOBGZBFUFNDXSGHS.SEARCH&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
vivo T2x 5G,4.4,6 , 128,16.71 cm,50MP,8MP,5000,Dimensity,"12,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUF389GDMP&lid=LSTMOBGZBFUF389GDMPYKMTEO&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&iid=f3cd80c1-2864-431c-812c-4192f2c2110f.MOBGZBFUF389GDMP.SEARCH&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
vivo T2x 5G,4.4,4 , 128,16.71 cm,50MP,8MP,5000,Dimensity,"11,999",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUPTU7DNCA&lid=LSTMOBGZBFUPTU7DNCALOZWX1&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&iid=f3cd80c1-2864-431c-812c-4192f2c2110f.MOBGZBFUPTU7DNCA.SEARCH&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
vivo T2x 5G,4.4,4 , 128,16.71 cm,50MP,8MP,5000,Dimensity,"11,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZDW5JHYW&lid=LSTMOBGZBFUZDW5JHYWRCDY5W&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&iid=f3cd80c1-2864-431c-812c-4192f2c2110f.MOBGZBFUZDW5JHYW.SEARCH&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
POCO C51,4,4 , 64 ,16.56 cm,8MP,5MP,5000,Helio,"5,499",https://www.flipkart.com/poco-c51-royal-blue-64-gb/p/itm1e4e8373537a7?pid=MOBGZCQFCWNDK89P&lid=LSTMOBGZCQFCWNDK89POEPN6S&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&iid=f3cd80c1-2864-431c-812c-4192f2c2110f.MOBGZCQFCWNDK89P.SEARCH&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
vivo T2x 5G,4.3,8 , 128,16.71 cm,50MP,8MP,5000,Dimensity,"14,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZEMCKRGE&lid=LSTMOBGZBFUZEMCKRGEW3VLBC&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&iid=f3cd80c1-2864-431c-812c-4192f2c2110f.MOBGZBFUZEMCKRGE.SEARCH&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
Motorola G34 5G,4.2,8 , 128,16.51 cm,50MP,16MP,5000,Snapdragon,"11,999",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&iid=f3cd80c1-2864-431c-812c-4192f2c2110f.MOBGUFK4TZ2CJYHJ.SEARCH&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
Motorola G34 5G,4.2,4 , 128,16.51 cm,50MP,16MP,5000,Snapdragon,"10,999",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm3420a8e79e129?pid=MOBGUFK49KDBZUMC&lid=LSTMOBGUFK49KDBZUMCRZHEGQ&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&iid=f3cd80c1-2864-431c-812c-4192f2c2110f.MOBGUFK49KDBZUMC.SEARCH&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
Motorola G34 5G,4.2,8 , 128,16.51 cm,50MP,16MP,5000,Snapdragon,"11,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&iid=f3cd80c1-2864-431c-812c-4192f2c2110f.MOBGUFK4P2H9CY7Y.SEARCH&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
vivo T2 5G,4.3,8 , 128,16.21 cm,64,16MP,4500,Snapdragon,"17,999",https://www.flipkart.com/vivo-t2-5g-nitro-blaze-128-gb/p/itma79eb573156a4?pid=MOBGZBFUHGYHNEMB&lid=LSTMOBGZBFUHGYHNEMBDASSEQ&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&iid=f3cd80c1-2864-431c-812c-4192f2c2110f.MOBGZBFUHGYHNEMB.SEARCH&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
vivo T2 5G,4.4,6 , 128,16.21 cm,64,16MP,4500,Snapdragon,"15,999",https://www.flipkart.com/vivo-t2-5g-velocity-wave-128-gb/p/itma79eb573156a4?pid=MOBGZBFU3KXMFYHP&lid=LSTMOBGZBFU3KXMFYHPQBLL0Y&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&iid=f3cd80c1-2864-431c-812c-4192f2c2110f.MOBGZBFU3KXMFYHP.SEARCH&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
POCO C51,4,4 , 64 ,16.56 cm,8MP,5MP,5000,Helio,"5,499",https://www.flipkart.com/poco-c51-power-black-64-gb/p/itm62bcd2634619e?pid=MOBGZCQFWM5HZHXX&lid=LSTMOBGZCQFWM5HZHXXVV2MKC&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&iid=f3cd80c1-2864-431c-812c-4192f2c2110f.MOBGZCQFWM5HZHXX.SEARCH&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
vivo T2 5G,4.4,6 , 128,16.21 cm,64,16MP,4500,Snapdragon,"15,999",https://www.flipkart.com/vivo-t2-5g-nitro-blaze-128-gb/p/itma79eb573156a4?pid=MOBGZBFUVZCHW6HU&lid=LSTMOBGZBFUVZCHW6HUXFPFXB&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&iid=f3cd80c1-2864-431c-812c-4192f2c2110f.MOBGZBFUVZCHW6HU.SEARCH&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
vivo T2 5G,4.3,8 , 128,16.21 cm,64,16MP,4500,Snapdragon,"17,999",https://www.flipkart.com/vivo-t2-5g-velocity-wave-128-gb/p/itma79eb573156a4?pid=MOBGZBFU2GHZTMGN&lid=LSTMOBGZBFU2GHZTMGNEFEQUV&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&iid=f3cd80c1-2864-431c-812c-4192f2c2110f.MOBGZBFU2GHZTMGN.SEARCH&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
POCO C55,4.2,4 , 64 ,17.04 cm,50MP,5MP,5000,Mediatek,"6,299",https://www.flipkart.com/poco-c55-forest-green-64-gb/p/itm8b99ef9bd674c?pid=MOBGMXSWFYZYWKTD&lid=LSTMOBGMXSWFYZYWKTDWKED3U&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&iid=f3cd80c1-2864-431c-812c-4192f2c2110f.MOBGMXSWFYZYWKTD.SEARCH&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
OnePlus Nord CE 3 Lite 5G,4.4,8 , 256,17.07 cm,108MP,5MP,5000,Domestic,"20,863",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ45PS4AQ7BA&lid=LSTMOBGZJ45PS4AQ7BAVDNIED&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&iid=f3cd80c1-2864-431c-812c-4192f2c2110f.MOBGZJ45PS4AQ7BA.SEARCH&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
OnePlus Nord CE 3 Lite 5G,4.4,8 , 256,17.07 cm,108MP,5MP,5000,Domestic,"20,949",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ3ZFQ8AKKRS&lid=LSTMOBGZJ3ZFQ8AKKRSXZZMMY&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&iid=f3cd80c1-2864-431c-812c-4192f2c2110f.MOBGZJ3ZFQ8AKKRS.SEARCH&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
OnePlus Nord CE 3 Lite 5G,4.4,8 , 128,17.07 cm,108MP,5MP,5000,Domestic,"19,419",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ42KHUZZKMN&lid=LSTMOBGZJ42KHUZZKMNF9EGW4&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&iid=f3cd80c1-2864-431c-812c-4192f2c2110f.MOBGZJ42KHUZZKMN.SEARCH&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
OnePlus Nord CE 3 Lite 5G,4.4,8 , 128,17.07 cm,108MP,5MP,5000,Domestic,"19,299",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ3WM5SGTGVZ&lid=LSTMOBGZJ3WM5SGTGVZFDSJL3&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&iid=f3cd80c1-2864-431c-812c-4192f2c2110f.MOBGZJ3WM5SGTGVZ.SEARCH&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
POCO C55,4.2,4 , 64 ,17.04 cm,50MP,5MP,5000,Mediatek,"6,299",https://www.flipkart.com/poco-c55-power-black-64-gb/p/itme567bcd596fe9?pid=MOBGMXSW9PHJVQCA&lid=LSTMOBGMXSW9PHJVQCALTZQ3D&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&iid=f3cd80c1-2864-431c-812c-4192f2c2110f.MOBGMXSW9PHJVQCA.SEARCH&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
POCO C55,4.2,6 , 128 ,17.04 cm,50MP,5MP,5000,Mediatek,"7,299",https://www.flipkart.com/poco-c55-cool-blue-128-gb/p/itm26aca9fd143ba?pid=MOBGMXSWJHRVUWFE&lid=LSTMOBGMXSWJHRVUWFESKZGEW&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&iid=f3cd80c1-2864-431c-812c-4192f2c2110f.MOBGMXSWJHRVUWFE.SEARCH&ssid=mrmxa10p1c0000001707471103551&qH=28388ea49f54c5b8
